break_id,account_id,business_date,ticker,break_category,internal_value,custodian_value,variance,dollar_exposure,injection_id
22,6,2023-06-23,,CASH_BALANCE_BREAK,-1121.48,-1136.98,15.5,15.5,6
23,2,2023-06-30,,CASH_BALANCE_BREAK,-649.08,-651.58,2.5,2.5,1
24,1,2022-09-24,,CASH_BALANCE_BREAK,-1365.4,-2365.4,1000.0,1000.0,0
25,5,2022-09-02,,CASH_BALANCE_BREAK,4456.74,4706.74,-250.0,250.0,4
26,6,2022-09-02,,CASH_BALANCE_BREAK,-1581.71,-1597.21,15.5,15.5,6
27,1,2022-10-18,,CASH_BALANCE_BREAK,-1358.81,-2358.81,1000.0,1000.0,0
28,5,2022-10-19,,CASH_BALANCE_BREAK,4341.62,4591.62,-250.0,250.0,4
29,5,2021-12-08,,CASH_BALANCE_BREAK,1168.52,1418.52,-250.0,250.0,4
30,2,2021-05-10,,CASH_BALANCE_BREAK,-1271.28,-1273.78,2.5,2.5,1
31,5,2022-02-23,,CASH_BALANCE_BREAK,1376.68,1626.68,-250.0,250.0,4
32,6,2022-03-04,,CASH_BALANCE_BREAK,-635.26,-650.76,15.5,15.5,6
33,1,2022-02-04,,CASH_BALANCE_BREAK,-1022.78,-2022.78,1000.0,1000.0,0
34,5,2022-09-26,,CASH_BALANCE_BREAK,4464.85,4714.85,-250.0,250.0,4
35,6,2023-03-04,,CASH_BALANCE_BREAK,-1823.87,-1839.37,15.5,15.5,6
36,2,2022-09-04,,CASH_BALANCE_BREAK,-783.61,-786.11,2.5,2.5,1
37,5,2022-08-06,,CASH_BALANCE_BREAK,4451.23,4701.23,-250.0,250.0,4
38,6,2023-03-28,,CASH_BALANCE_BREAK,-1810.04,-1825.54,15.5,15.5,6
39,5,2022-02-20,,CASH_BALANCE_BREAK,1376.68,1626.68,-250.0,250.0,4
40,6,2022-04-09,,CASH_BALANCE_BREAK,-629.61,-645.11,15.5,15.5,6
41,2,2021-06-10,,CASH_BALANCE_BREAK,-1253.05,-1255.55,2.5,2.5,1
42,5,2022-08-09,,CASH_BALANCE_BREAK,4451.23,4701.23,-250.0,250.0,4
43,6,2022-08-09,,CASH_BALANCE_BREAK,-1584.25,-1599.75,15.5,15.5,6
44,1,2021-12-10,,CASH_BALANCE_BREAK,-1047.58,-2047.58,1000.0,1000.0,0
45,2,2021-12-10,,CASH_BALANCE_BREAK,-1337.29,-1339.79,2.5,2.5,1
46,1,2022-03-07,,CASH_BALANCE_BREAK,-1016.87,-2016.87,1000.0,1000.0,0
47,2,2022-02-27,,CASH_BALANCE_BREAK,-1379.51,-1382.01,2.5,2.5,1
48,6,2022-04-17,,CASH_BALANCE_BREAK,-2440.99,-2456.49,15.5,15.5,6
49,1,2022-06-05,,CASH_BALANCE_BREAK,-1284.32,-2284.32,1000.0,1000.0,0
50,5,2022-06-28,,CASH_BALANCE_BREAK,3501.34,3751.34,-250.0,250.0,4
51,2,2022-03-05,,CASH_BALANCE_BREAK,-1369.24,-1371.74,2.5,2.5,1
52,1,2021-11-11,,CASH_BALANCE_BREAK,-1058.56,-2058.56,1000.0,1000.0,0
53,1,2021-08-18,,CASH_BALANCE_BREAK,-680.19,-1680.19,1000.0,1000.0,0
54,2,2021-09-30,,CASH_BALANCE_BREAK,-1377.17,-1379.67,2.5,2.5,1
55,5,2023-01-02,,CASH_BALANCE_BREAK,5572.82,5822.82,-250.0,250.0,4
56,1,2021-01-10,,CASH_BALANCE_BREAK,-380.07,-1380.07,1000.0,1000.0,0
57,5,2022-07-30,,CASH_BALANCE_BREAK,4451.23,4701.23,-250.0,250.0,4
58,2,2021-03-18,,CASH_BALANCE_BREAK,-1584.47,-1586.97,2.5,2.5,1
59,1,2021-07-04,,CASH_BALANCE_BREAK,-592.19,-1592.19,1000.0,1000.0,0
60,5,2021-11-30,,CASH_BALANCE_BREAK,1168.52,1418.52,-250.0,250.0,4
61,1,2021-12-02,,CASH_BALANCE_BREAK,-1047.58,-2047.58,1000.0,1000.0,0
62,1,2021-04-13,,CASH_BALANCE_BREAK,-735.94,-1735.94,1000.0,1000.0,0
63,2,2021-11-01,,CASH_BALANCE_BREAK,-1341.01,-1343.51,2.5,2.5,1
64,5,2021-11-01,,CASH_BALANCE_BREAK,768.52,1018.52,-250.0,250.0,4
65,2,2021-07-20,,CASH_BALANCE_BREAK,-1266.11,-1268.61,2.5,2.5,1
66,2,2021-10-31,,CASH_BALANCE_BREAK,-1341.01,-1343.51,2.5,2.5,1
67,2,2021-06-21,,CASH_BALANCE_BREAK,-1253.05,-1255.55,2.5,2.5,1
68,2,2021-10-05,,CASH_BALANCE_BREAK,-1358.34,-1360.84,2.5,2.5,1
69,6,2022-12-06,,CASH_BALANCE_BREAK,-1739.01,-1754.51,15.5,15.5,6
70,6,2023-01-15,,CASH_BALANCE_BREAK,-1722.08,-1737.58,15.5,15.5,6
71,1,2021-08-21,,CASH_BALANCE_BREAK,-680.19,-1680.19,1000.0,1000.0,0
72,2,2021-08-21,,CASH_BALANCE_BREAK,-1251.53,-1254.03,2.5,2.5,1
73,2,2021-08-24,,CASH_BALANCE_BREAK,-1251.53,-1254.03,2.5,2.5,1
74,5,2021-08-24,,CASH_BALANCE_BREAK,260.88,510.88,-250.0,250.0,4
75,1,2022-05-04,,CASH_BALANCE_BREAK,-1045.54,-2045.54,1000.0,1000.0,0
76,6,2022-05-04,,CASH_BALANCE_BREAK,-1340.99,-1356.49,15.5,15.5,6
77,6,2023-01-29,,CASH_BALANCE_BREAK,-1722.08,-1737.58,15.5,15.5,6
78,2,2022-06-21,,CASH_BALANCE_BREAK,-615.08,-617.58,2.5,2.5,1
79,2,2022-11-04,,CASH_BALANCE_BREAK,-878.48,-880.98,2.5,2.5,1
80,1,2023-03-24,,CASH_BALANCE_BREAK,-1254.78,-2254.78,1000.0,1000.0,0
81,5,2022-04-23,,CASH_BALANCE_BREAK,3198.78,3448.78,-250.0,250.0,4
82,2,2022-05-10,,CASH_BALANCE_BREAK,-267.88,-270.38,2.5,2.5,1
83,2,2022-08-08,,CASH_BALANCE_BREAK,-783.61,-786.11,2.5,2.5,1
84,2,2022-04-11,,CASH_BALANCE_BREAK,-290.33,-292.83,2.5,2.5,1
85,6,2022-01-23,,CASH_BALANCE_BREAK,-672.7,-688.2,15.5,15.5,6
86,5,2022-05-11,,CASH_BALANCE_BREAK,3201.34,3451.34,-250.0,250.0,4
87,2,2022-08-16,,CASH_BALANCE_BREAK,-783.61,-786.11,2.5,2.5,1
88,2,2023-05-10,,CASH_BALANCE_BREAK,-188.49,-190.99,2.5,2.5,1
89,6,2022-07-14,,CASH_BALANCE_BREAK,-1598.51,-1614.01,15.5,15.5,6
90,5,2022-07-13,,CASH_BALANCE_BREAK,4501.34,4751.34,-250.0,250.0,4
91,1,2023-06-03,,CASH_BALANCE_BREAK,-2796.17,-3796.17,1000.0,1000.0,0
92,6,2022-05-12,,CASH_BALANCE_BREAK,-1340.99,-1356.49,15.5,15.5,6
93,2,2022-06-30,,CASH_BALANCE_BREAK,-615.08,-617.58,2.5,2.5,1
94,5,2022-06-30,,CASH_BALANCE_BREAK,4501.34,4751.34,-250.0,250.0,4
95,2,2022-06-16,,CASH_BALANCE_BREAK,-520.25,-522.75,2.5,2.5,1
96,1,2023-06-22,,CASH_BALANCE_BREAK,-2796.17,-3796.17,1000.0,1000.0,0
97,5,2023-06-23,,CASH_BALANCE_BREAK,6439.8,6689.8,-250.0,250.0,4
98,1,2023-06-30,,CASH_BALANCE_BREAK,-3043.21,-4043.21,1000.0,1000.0,0
99,1,2023-03-15,,CASH_BALANCE_BREAK,-1261.89,-2261.89,1000.0,1000.0,0
100,5,2022-08-04,,CASH_BALANCE_BREAK,4451.23,4701.23,-250.0,250.0,4
101,2,2022-10-19,,CASH_BALANCE_BREAK,-884.91,-887.41,2.5,2.5,1
102,5,2022-12-06,,CASH_BALANCE_BREAK,5564.78,5814.78,-250.0,250.0,4
103,5,2022-08-07,,CASH_BALANCE_BREAK,4451.23,4701.23,-250.0,250.0,4
104,6,2022-09-26,,CASH_BALANCE_BREAK,-1481.71,-1497.21,15.5,15.5,6
105,1,2021-02-19,,CASH_BALANCE_BREAK,-919.27,-1919.27,1000.0,1000.0,0
106,1,2021-04-02,,CASH_BALANCE_BREAK,-918.03,-1918.03,1000.0,1000.0,0
107,2,2021-04-03,,CASH_BALANCE_BREAK,-1584.47,-1586.97,2.5,2.5,1
108,2,2022-05-29,,CASH_BALANCE_BREAK,-520.25,-522.75,2.5,2.5,1
109,5,2022-05-29,,CASH_BALANCE_BREAK,3501.34,3751.34,-250.0,250.0,4
110,1,2021-03-22,,CASH_BALANCE_BREAK,-918.03,-1918.03,1000.0,1000.0,0
111,5,2022-03-03,,CASH_BALANCE_BREAK,1380.44,1630.44,-250.0,250.0,4
112,5,2021-10-17,,CASH_BALANCE_BREAK,762.96,1012.96,-250.0,250.0,4
113,2,2021-12-05,,CASH_BALANCE_BREAK,-1337.29,-1339.79,2.5,2.5,1
114,5,2021-12-06,,CASH_BALANCE_BREAK,1168.52,1418.52,-250.0,250.0,4
115,5,2022-01-25,,CASH_BALANCE_BREAK,1374.55,1624.55,-250.0,250.0,4
116,2,2021-05-20,,CASH_BALANCE_BREAK,-1271.28,-1273.78,2.5,2.5,1
117,2,2021-12-08,,CASH_BALANCE_BREAK,-1337.29,-1339.79,2.5,2.5,1
118,6,2022-01-28,,CASH_BALANCE_BREAK,-672.7,-688.2,15.5,15.5,6
119,1,2021-10-26,,CASH_BALANCE_BREAK,-1058.56,-2058.56,1000.0,1000.0,0
120,5,2022-02-07,,CASH_BALANCE_BREAK,1376.68,1626.68,-250.0,250.0,4
121,2,2022-03-26,,CASH_BALANCE_BREAK,-1369.24,-1371.74,2.5,2.5,1
122,5,2022-03-19,,CASH_BALANCE_BREAK,1380.44,1630.44,-250.0,250.0,4
123,1,2021-10-02,,CASH_BALANCE_BREAK,-927.71,-1927.71,1000.0,1000.0,0
124,1,2021-12-15,,CASH_BALANCE_BREAK,-1047.58,-2047.58,1000.0,1000.0,0
125,2,2021-12-15,,CASH_BALANCE_BREAK,-1337.29,-1339.79,2.5,2.5,1
126,2,2021-07-26,,CASH_BALANCE_BREAK,-1262.66,-1265.16,2.5,2.5,1
127,2,2021-07-04,,CASH_BALANCE_BREAK,-1266.11,-1268.61,2.5,2.5,1
128,1,2021-03-30,,CASH_BALANCE_BREAK,-918.03,-1918.03,1000.0,1000.0,0
129,1,2021-07-06,,CASH_BALANCE_BREAK,-592.19,-1592.19,1000.0,1000.0,0
130,1,2021-07-23,,CASH_BALANCE_BREAK,-684.54,-1684.54,1000.0,1000.0,0
131,1,2021-11-26,,CASH_BALANCE_BREAK,-1047.58,-2047.58,1000.0,1000.0,0
132,5,2021-11-20,,CASH_BALANCE_BREAK,1168.52,1418.52,-250.0,250.0,4
133,1,2021-12-13,,CASH_BALANCE_BREAK,-1047.58,-2047.58,1000.0,1000.0,0
134,2,2021-10-13,,CASH_BALANCE_BREAK,-1358.34,-1360.84,2.5,2.5,1
135,2,2022-03-08,,CASH_BALANCE_BREAK,-1369.24,-1371.74,2.5,2.5,1
136,1,2022-08-05,,CASH_BALANCE_BREAK,-1283.39,-2283.39,1000.0,1000.0,0
137,6,2022-12-31,,CASH_BALANCE_BREAK,-1739.01,-1754.51,15.5,15.5,6
138,1,2021-12-04,,CASH_BALANCE_BREAK,-1047.58,-2047.58,1000.0,1000.0,0
139,5,2023-02-26,,CASH_BALANCE_BREAK,5626.14,5876.14,-250.0,250.0,4
140,6,2023-01-26,,CASH_BALANCE_BREAK,-1722.08,-1737.58,15.5,15.5,6
141,1,2022-08-02,,CASH_BALANCE_BREAK,-1366.11,-2366.11,1000.0,1000.0,0
142,5,2022-11-02,,CASH_BALANCE_BREAK,4230.23,4480.23,-250.0,250.0,4
143,6,2022-11-05,,CASH_BALANCE_BREAK,-1484.66,-1500.16,15.5,15.5,6
144,1,2022-12-21,,CASH_BALANCE_BREAK,-1255.61,-2255.61,1000.0,1000.0,0
145,6,2023-03-23,,CASH_BALANCE_BREAK,-1810.04,-1825.54,15.5,15.5,6
146,2,2023-02-02,,CASH_BALANCE_BREAK,-843.15,-845.65,2.5,2.5,1
147,1,2022-09-25,,CASH_BALANCE_BREAK,-1365.4,-2365.4,1000.0,1000.0,0
148,1,2022-07-15,,CASH_BALANCE_BREAK,-1381.37,-2381.37,1000.0,1000.0,0
149,6,2022-08-31,,CASH_BALANCE_BREAK,-1581.71,-1597.21,15.5,15.5,6
150,1,2022-09-01,,CASH_BALANCE_BREAK,-1283.39,-2283.39,1000.0,1000.0,0
151,5,2021-09-30,,CASH_BALANCE_BREAK,262.96,512.96,-250.0,250.0,4
152,6,2022-06-07,,CASH_BALANCE_BREAK,-1437.52,-1453.02,15.5,15.5,6
153,1,2022-05-21,,CASH_BALANCE_BREAK,-1284.32,-2284.32,1000.0,1000.0,0
154,1,2022-08-18,,CASH_BALANCE_BREAK,-1283.39,-2283.39,1000.0,1000.0,0
155,6,2022-03-17,,CASH_BALANCE_BREAK,-635.26,-650.76,15.5,15.5,6
156,6,2022-06-26,,CASH_BALANCE_BREAK,-1437.52,-1453.02,15.5,15.5,6
157,5,2022-08-15,,CASH_BALANCE_BREAK,4456.74,4706.74,-250.0,250.0,4
158,6,2022-08-15,,CASH_BALANCE_BREAK,-1581.71,-1597.21,15.5,15.5,6
159,1,2021-10-21,,CASH_BALANCE_BREAK,-927.71,-1927.71,1000.0,1000.0,0
160,1,2022-03-18,,CASH_BALANCE_BREAK,-1016.87,-2016.87,1000.0,1000.0,0
161,2,2022-03-18,,CASH_BALANCE_BREAK,-1369.24,-1371.74,2.5,2.5,1
162,2,2021-03-14,,CASH_BALANCE_BREAK,-1588.82,-1591.32,2.5,2.5,1
163,2,2022-04-23,,CASH_BALANCE_BREAK,-290.33,-292.83,2.5,2.5,1
164,6,2022-07-29,,CASH_BALANCE_BREAK,-1584.25,-1599.75,15.5,15.5,6
165,6,2022-08-08,,CASH_BALANCE_BREAK,-1584.25,-1599.75,15.5,15.5,6
166,2,2022-08-10,,CASH_BALANCE_BREAK,-783.61,-786.11,2.5,2.5,1
167,2,2021-07-13,,CASH_BALANCE_BREAK,-1266.11,-1268.61,2.5,2.5,1
168,2,2021-08-06,,CASH_BALANCE_BREAK,-1262.66,-1265.16,2.5,2.5,1
169,5,2022-04-11,,CASH_BALANCE_BREAK,3198.78,3448.78,-250.0,250.0,4
170,1,2021-10-09,,CASH_BALANCE_BREAK,-927.71,-1927.71,1000.0,1000.0,0
171,1,2021-06-27,,CASH_BALANCE_BREAK,-565.72,-1565.72,1000.0,1000.0,0
172,5,2021-11-19,,CASH_BALANCE_BREAK,1168.52,1418.52,-250.0,250.0,4
173,5,2022-10-11,,CASH_BALANCE_BREAK,4341.62,4591.62,-250.0,250.0,4
174,2,2021-10-20,,CASH_BALANCE_BREAK,-1358.34,-1360.84,2.5,2.5,1
175,6,2022-05-20,,CASH_BALANCE_BREAK,-1437.52,-1453.02,15.5,15.5,6
176,2,2022-07-14,,CASH_BALANCE_BREAK,-615.08,-617.58,2.5,2.5,1
177,6,2023-05-03,,CASH_BALANCE_BREAK,-783.59,-799.09,15.5,15.5,6
178,6,2022-06-16,,CASH_BALANCE_BREAK,-1437.52,-1453.02,15.5,15.5,6
179,1,2023-06-23,,CASH_BALANCE_BREAK,-2796.17,-3796.17,1000.0,1000.0,0
180,5,2023-01-06,,CASH_BALANCE_BREAK,5572.82,5822.82,-250.0,250.0,4
181,1,2022-09-23,,CASH_BALANCE_BREAK,-1365.4,-2365.4,1000.0,1000.0,0
182,2,2022-09-02,,CASH_BALANCE_BREAK,-783.61,-786.11,2.5,2.5,1
183,2,2022-09-26,,CASH_BALANCE_BREAK,-890.06,-892.56,2.5,2.5,1
184,5,2022-09-27,,CASH_BALANCE_BREAK,4464.85,4714.85,-250.0,250.0,4
185,6,2022-09-27,,CASH_BALANCE_BREAK,-1481.71,-1497.21,15.5,15.5,6
186,5,2022-12-02,,CASH_BALANCE_BREAK,4230.23,4480.23,-250.0,250.0,4
187,6,2022-12-02,,CASH_BALANCE_BREAK,-1484.66,-1500.16,15.5,15.5,6
188,2,2023-05-22,,CASH_BALANCE_BREAK,-188.49,-190.99,2.5,2.5,1
189,1,2022-02-20,,CASH_BALANCE_BREAK,-1022.78,-2022.78,1000.0,1000.0,0
190,2,2021-08-04,,CASH_BALANCE_BREAK,-1262.66,-1265.16,2.5,2.5,1
191,6,2022-03-29,,CASH_BALANCE_BREAK,-635.26,-650.76,15.5,15.5,6
192,1,2022-05-29,,CASH_BALANCE_BREAK,-1284.32,-2284.32,1000.0,1000.0,0
193,6,2022-05-29,,CASH_BALANCE_BREAK,-1437.52,-1453.02,15.5,15.5,6
194,2,2021-08-01,,CASH_BALANCE_BREAK,-1262.66,-1265.16,2.5,2.5,1
195,1,2021-08-03,,CASH_BALANCE_BREAK,-684.54,-1684.54,1000.0,1000.0,0
196,2,2022-03-03,,CASH_BALANCE_BREAK,-1369.24,-1371.74,2.5,2.5,1
197,5,2021-12-10,,CASH_BALANCE_BREAK,1168.52,1418.52,-250.0,250.0,4
198,6,2022-03-07,,CASH_BALANCE_BREAK,-635.26,-650.76,15.5,15.5,6
199,5,2022-03-05,,CASH_BALANCE_BREAK,1380.44,1630.44,-250.0,250.0,4
200,5,2022-03-15,,CASH_BALANCE_BREAK,1380.44,1630.44,-250.0,250.0,4
201,1,2022-08-14,,CASH_BALANCE_BREAK,-1283.39,-2283.39,1000.0,1000.0,0
202,6,2022-05-21,,CASH_BALANCE_BREAK,-1437.52,-1453.02,15.5,15.5,6
203,1,2022-03-17,,CASH_BALANCE_BREAK,-1016.87,-2016.87,1000.0,1000.0,0
204,5,2022-06-26,,CASH_BALANCE_BREAK,3501.34,3751.34,-250.0,250.0,4
205,1,2022-08-15,,CASH_BALANCE_BREAK,-1283.39,-2283.39,1000.0,1000.0,0
206,2,2021-10-19,,CASH_BALANCE_BREAK,-1358.34,-1360.84,2.5,2.5,1
207,5,2021-09-24,,CASH_BALANCE_BREAK,262.96,512.96,-250.0,250.0,4
208,2,2022-08-01,,CASH_BALANCE_BREAK,-699.26,-701.76,2.5,2.5,1
209,6,2022-09-17,,CASH_BALANCE_BREAK,-1481.71,-1497.21,15.5,15.5,6
210,5,2022-02-17,,CASH_BALANCE_BREAK,1376.68,1626.68,-250.0,250.0,4
211,6,2022-02-17,,CASH_BALANCE_BREAK,-635.5,-651.0,15.5,15.5,6
212,1,2021-09-15,,CASH_BALANCE_BREAK,-933.76,-1933.76,1000.0,1000.0,0
213,2,2021-08-12,,CASH_BALANCE_BREAK,-1262.66,-1265.16,2.5,2.5,1
214,1,2021-05-13,,CASH_BALANCE_BREAK,-405.94,-1405.94,1000.0,1000.0,0
215,1,2021-11-01,,CASH_BALANCE_BREAK,-1058.56,-2058.56,1000.0,1000.0,0
216,5,2021-10-04,,CASH_BALANCE_BREAK,762.96,1012.96,-250.0,250.0,4
217,1,2021-12-25,,CASH_BALANCE_BREAK,-1072.2,-2072.2,1000.0,1000.0,0
218,5,2021-12-26,,CASH_BALANCE_BREAK,1868.52,2118.52,-250.0,250.0,4
219,5,2021-10-28,,CASH_BALANCE_BREAK,768.52,1018.52,-250.0,250.0,4
220,5,2021-10-02,,CASH_BALANCE_BREAK,762.96,1012.96,-250.0,250.0,4
221,2,2022-03-06,,CASH_BALANCE_BREAK,-1369.24,-1371.74,2.5,2.5,1
222,2,2022-03-01,,CASH_BALANCE_BREAK,-1369.24,-1371.74,2.5,2.5,1
223,6,2022-03-02,,CASH_BALANCE_BREAK,-635.26,-650.76,15.5,15.5,6
224,5,2022-09-24,,CASH_BALANCE_BREAK,4464.85,4714.85,-250.0,250.0,4
225,5,2021-12-12,,CASH_BALANCE_BREAK,1168.52,1418.52,-250.0,250.0,4
226,5,2021-12-13,,CASH_BALANCE_BREAK,1168.52,1418.52,-250.0,250.0,4
227,5,2021-10-13,,CASH_BALANCE_BREAK,762.96,1012.96,-250.0,250.0,4
228,5,2022-01-27,,CASH_BALANCE_BREAK,1374.55,1624.55,-250.0,250.0,4
229,6,2022-01-27,,CASH_BALANCE_BREAK,-672.7,-688.2,15.5,15.5,6
230,1,2022-03-08,,CASH_BALANCE_BREAK,-1016.87,-2016.87,1000.0,1000.0,0
231,6,2022-06-21,,CASH_BALANCE_BREAK,-1437.52,-1453.02,15.5,15.5,6
232,5,2021-11-24,,CASH_BALANCE_BREAK,1168.52,1418.52,-250.0,250.0,4
233,2,2022-11-02,,CASH_BALANCE_BREAK,-878.48,-880.98,2.5,2.5,1
234,1,2022-11-05,,CASH_BALANCE_BREAK,-1283.85,-2283.85,1000.0,1000.0,0
235,2,2022-11-05,,CASH_BALANCE_BREAK,-878.48,-880.98,2.5,2.5,1
236,6,2022-12-21,,CASH_BALANCE_BREAK,-1739.01,-1754.51,15.5,15.5,6
237,1,2023-02-24,,CASH_BALANCE_BREAK,-1261.89,-2261.89,1000.0,1000.0,0
238,5,2022-09-25,,CASH_BALANCE_BREAK,4464.85,4714.85,-250.0,250.0,4
239,5,2022-07-12,,CASH_BALANCE_BREAK,4501.34,4751.34,-250.0,250.0,4
240,6,2022-07-12,,CASH_BALANCE_BREAK,-1598.51,-1614.01,15.5,15.5,6
241,2,2022-08-31,,CASH_BALANCE_BREAK,-783.61,-786.11,2.5,2.5,1
242,5,2022-08-31,,CASH_BALANCE_BREAK,4456.74,4706.74,-250.0,250.0,4
243,6,2022-04-23,,CASH_BALANCE_BREAK,-2440.99,-2456.49,15.5,15.5,6
244,1,2021-07-12,,CASH_BALANCE_BREAK,-592.19,-1592.19,1000.0,1000.0,0
245,2,2021-07-17,,CASH_BALANCE_BREAK,-1266.11,-1268.61,2.5,2.5,1
246,1,2022-05-13,,CASH_BALANCE_BREAK,-1045.54,-2045.54,1000.0,1000.0,0
247,5,2021-09-28,,CASH_BALANCE_BREAK,262.96,512.96,-250.0,250.0,4
248,1,2022-08-16,,CASH_BALANCE_BREAK,-1283.39,-2283.39,1000.0,1000.0,0
249,2,2021-11-09,,CASH_BALANCE_BREAK,-1341.01,-1343.51,2.5,2.5,1
250,2,2022-04-01,,CASH_BALANCE_BREAK,-1362.36,-1364.86,2.5,2.5,1
251,6,2022-04-01,,CASH_BALANCE_BREAK,-629.61,-645.11,15.5,15.5,6
252,1,2022-10-13,,CASH_BALANCE_BREAK,-1358.81,-2358.81,1000.0,1000.0,0
253,2,2022-10-13,,CASH_BALANCE_BREAK,-884.91,-887.41,2.5,2.5,1
254,1,2022-07-13,,CASH_BALANCE_BREAK,-1381.37,-2381.37,1000.0,1000.0,0
255,5,2022-03-22,,CASH_BALANCE_BREAK,1380.44,1630.44,-250.0,250.0,4
256,1,2022-05-12,,CASH_BALANCE_BREAK,-1045.54,-2045.54,1000.0,1000.0,0
257,1,2021-11-05,,CASH_BALANCE_BREAK,-1058.56,-2058.56,1000.0,1000.0,0
258,6,2022-08-04,,CASH_BALANCE_BREAK,-1584.25,-1599.75,15.5,15.5,6
259,5,2023-01-15,,CASH_BALANCE_BREAK,5572.82,5822.82,-250.0,250.0,4
260,1,2022-10-21,,CASH_BALANCE_BREAK,-1358.81,-2358.81,1000.0,1000.0,0
261,2,2022-08-06,,CASH_BALANCE_BREAK,-783.61,-786.11,2.5,2.5,1
262,2,2022-02-20,,CASH_BALANCE_BREAK,-1379.51,-1382.01,2.5,2.5,1
263,2,2021-08-03,,CASH_BALANCE_BREAK,-1262.66,-1265.16,2.5,2.5,1
264,2,2022-10-06,,CASH_BALANCE_BREAK,-884.91,-887.41,2.5,2.5,1
265,5,2022-02-21,,CASH_BALANCE_BREAK,1376.68,1626.68,-250.0,250.0,4
266,1,2021-05-20,,CASH_BALANCE_BREAK,-405.94,-1405.94,1000.0,1000.0,0
267,5,2021-11-07,,CASH_BALANCE_BREAK,768.52,1018.52,-250.0,250.0,4
268,1,2021-12-26,,CASH_BALANCE_BREAK,-1072.2,-2072.2,1000.0,1000.0,0
269,2,2021-12-26,,CASH_BALANCE_BREAK,-1333.6,-1336.1,2.5,2.5,1
270,1,2021-02-06,,CASH_BALANCE_BREAK,-380.07,-1380.07,1000.0,1000.0,0
271,1,2021-10-28,,CASH_BALANCE_BREAK,-1058.56,-2058.56,1000.0,1000.0,0
272,1,2021-11-21,,CASH_BALANCE_BREAK,-1047.58,-2047.58,1000.0,1000.0,0
273,6,2022-02-23,,CASH_BALANCE_BREAK,-635.5,-651.0,15.5,15.5,6
274,5,2022-03-06,,CASH_BALANCE_BREAK,1380.44,1630.44,-250.0,250.0,4
275,6,2022-03-06,,CASH_BALANCE_BREAK,-635.26,-650.76,15.5,15.5,6
276,1,2021-08-12,,CASH_BALANCE_BREAK,-684.54,-1684.54,1000.0,1000.0,0
277,2,2021-07-23,,CASH_BALANCE_BREAK,-1266.11,-1268.61,2.5,2.5,1
278,2,2021-02-27,,CASH_BALANCE_BREAK,-1588.82,-1591.32,2.5,2.5,1
279,1,2021-07-20,,CASH_BALANCE_BREAK,-592.19,-1592.19,1000.0,1000.0,0
280,5,2021-11-25,,CASH_BALANCE_BREAK,1168.52,1418.52,-250.0,250.0,4
281,1,2021-05-07,,CASH_BALANCE_BREAK,-405.94,-1405.94,1000.0,1000.0,0
282,2,2021-05-07,,CASH_BALANCE_BREAK,-1271.28,-1273.78,2.5,2.5,1
283,1,2021-10-04,,CASH_BALANCE_BREAK,-927.71,-1927.71,1000.0,1000.0,0
